Heads,Months,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
JOB WORK RECEIPTS,,"992,456,262","1,085,740,641","955,170,619","1,016,703,016","1,016,420,217","877,555,319","986,161,718","856,655,171","819,033,949","948,086,036","919,902,463","834,962,593","11,308,848,004"
     JOB WORK INCOME,,"992,456,262","1,085,740,641","955,170,619","1,016,703,016","1,016,420,217","877,555,319","986,161,718","856,655,171","819,033,949","948,086,036","919,902,463","834,962,593","11,308,848,004"
     LESS- EXPENSES OF JOBWORKS,,0,0,0,0,0,0,0,0,0,0,0,0,0
     LESS- NEWS PRINT OF JOBWORKS,,0,0,0,0,0,0,0,0,0,0,0,0,0
EVENT INCOME,,"1,000,000","1,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","26,000,000"
     GROSS INCOME FROM EVENTS,,"1,000,000","1,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","26,000,000"
     LESS: EXPENSES OF EVENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0
SPECIAL PROJECT,,0,0,0,0,0,0,0,0,0,0,0,0,0
     SPECIAL PROJECT INCOME,,0,0,0,0,0,0,0,0,0,0,0,0,0
     LESS -  SPECIAL PROJECT EXPENSES,,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER INCOME,,"10,610,114","10,616,662","10,610,202","10,606,952","10,601,205","10,590,693","10,605,812","10,601,112","10,598,211","10,591,815","10,568,842","10,566,604","127,168,224"
     NON-NEWS PRINT WASTAGE SALE,,"8,255,992","8,262,540","8,256,080","8,252,830","8,247,083","8,236,571","8,251,690","8,246,990","8,244,089","8,237,693","8,214,720","8,212,462","98,918,740"
     INTEREST ON FD / SECURITY / DEPOSITS & OTHERS,,"1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,197","17,726,144"
     BALANCES / PROVISION WRITTEN OFF,,0,0,0,0,0,0,0,0,0,0,0,0,0
     PROFIT / LOSS ON SALE OF ASSETS,,0,0,0,0,0,0,0,0,0,0,0,0,0
     OTHER MISC. INCOME,,"876,945","876,945","876,945","876,945","876,945","876,945","876,945","876,945","876,945","876,945","876,945","876,945","10,523,340"
TOTAL INCOME,,"1,004,066,376","1,097,357,303","967,780,821","1,030,309,968","1,030,021,422","891,146,012","999,767,530","869,256,283","831,632,160","960,677,851","932,471,305","847,529,197","11,462,016,228"
PRODUCTION EXPENSES,,"127,336,861","128,326,270","129,896,305","130,229,734","127,191,779","127,368,756","147,107,426","126,726,965","134,734,631","131,134,066","122,268,837","127,954,389","1,560,276,017"
A. PRODUCTION MATERIALS,,"86,588,824","89,277,862","89,450,073","91,388,523","88,929,817","88,685,954","101,406,106","87,451,597","92,923,008","90,834,456","85,420,856","90,537,833","1,082,894,909"
     INK CONSUMED,,"50,019,411","51,817,530","52,273,639","52,502,708","51,391,081","51,369,051","63,955,596","51,145,416","55,146,089","54,095,136","50,475,136","53,981,476","638,172,269"
     PLATE CONSUMED,,"26,089,376","26,822,489","26,186,475","27,115,127","26,085,951","26,016,092","26,059,639","25,776,683","27,057,045","26,104,257","24,497,419","25,935,061","313,745,614"
     FILM CONSUMED,,"197,378","205,501","197,378","205,501","189,255","197,378","205,501","181,132","205,501","189,255","181,132","197,378","2,352,290"
     LPF CONSUMED,,"296,260","305,660","296,650","306,800","296,650","295,300","288,470","296,650","305,660","296,450","276,560","288,670","3,549,780"
     TRACING PAPER CONSUMED,,"1,180","1,220","1,180","1,220","1,180","1,180","1,140","1,180","1,220","1,180","1,100","1,140","14,120"
     FOUNTAIN SOLUTION,,"1,974,990","2,021,798","1,980,886","2,020,653","1,996,316","1,992,912","2,086,936","1,981,510","2,032,593","1,972,442","1,895,042","1,991,986","23,948,064"
     OTHER PROD. MATL. CONS.,,"1,601,432","1,679,545","1,592,526","1,631,880","1,639,424","1,884,492","1,991,626","1,664,276","1,684,513","1,701,671","1,686,938","1,686,938","20,445,261"
     PACKING MATERIAL CONS. : POLYTHENES,,"47,700","59,600","592,624","1,164,156","931,423","583,317","379,650","23,010","26,950","23,200","22,220","31,720","3,885,570"
     PACKING MATERIAL CONS. : OTHERS,,"1,665,613","1,683,619","1,647,551","1,743,938","1,717,886","1,663,403","1,748,875","1,701,088","1,777,917","1,765,746","1,701,821","1,738,902","20,556,359"
     PRINTER TONNER CONS.-PROD,,"224,195","214,195","214,895","224,895","214,195","215,595","217,195","212,995","217,195","212,595","216,907","216,907","2,601,764"
     BLANKETS CONSUMED,,"3,092,505","3,087,921","3,087,485","3,092,861","3,087,672","3,088,450","3,092,694","3,088,873","3,089,541","3,093,740","3,087,797","3,088,871","37,078,410"
     RUBBER ROLLER MAINTENANCE,,"1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","1,378,784","16,545,408"
B. POWER & FUEL,,"18,903,385","19,919,600","19,882,925","19,248,845","18,763,527","19,381,730","19,926,382","18,991,535","18,390,898","18,038,443","17,729,229","17,830,656","227,007,155"
     HEAT SET GAS,,"161,511","159,631","158,451","160,681","176,151","163,851","168,521","281,891","169,261","163,541","164,191","166,921","2,094,602"
     ELECTRICITY,,"17,248,775","18,312,926","18,057,264","17,581,084","17,202,317","17,853,369","18,401,534","17,440,569","16,967,500","16,564,236","16,251,905","16,350,602","208,232,081"
     D.G.: FUEL,,"1,493,099","1,447,043","1,667,210","1,507,080","1,385,059","1,364,510","1,356,327","1,269,075","1,254,137","1,310,666","1,313,133","1,313,133","16,680,472"
C. MACHINE MAINTENANCE,,"11,787,859","11,299,732","11,265,886","11,462,426","11,543,184","11,366,829","11,562,042","11,333,823","11,631,931","11,521,722","11,629,817","11,432,717","137,837,968"
     D.G.: MAINTENANCE,,"399,023","369,223","392,023","334,023","529,023","360,512","427,023","286,023","412,723","293,023","619,512","286,023","4,708,154"
     MULTI WASH / NOVA WASH / KEROCENE,,"1,985,704","2,010,401","1,966,451","2,014,546","1,945,186","1,929,801","1,980,849","1,911,526","2,027,175","1,925,640","1,875,992","1,982,683","23,555,954"
     DHOTIS / COTTON WASTE,,"738,541","742,003","738,054","745,514","724,708","706,025","726,248","708,352","754,111","725,137","706,391","736,089","8,751,173"
     REPAIR & MAINTENANCE(P&M),,"4,956,492","4,983,492","4,956,492","5,132,492","4,956,492","4,956,492","4,956,492","4,956,492","4,956,492","5,106,492","4,956,492","4,956,492","59,830,904"
     A.M.C. PLANT & MACHINERY,,"2,917,019","2,407,421","2,427,696","2,450,681","2,602,605","2,628,829","2,686,260","2,686,260","2,686,260","2,686,260","2,686,260","2,686,260","31,551,811"
     REPAIRS & MAINTENANCE(ELEC.),,"791,080","787,192","785,170","785,170","785,170","785,170","785,170","785,170","795,170","785,170","785,170","785,170","9,439,972"
D. LOADING UNLOADING & FREIGHT,,"2,622,001","2,616,551","2,612,001","2,638,300","2,625,819","2,642,769","2,703,919","2,622,119","2,615,569","2,636,119","2,602,319","2,623,819","31,561,305"
     FORK LIFT : FUEL,,"214,171","214,171","214,171","214,171","214,171","214,171","214,171","214,171","214,171","214,171","214,171","214,171","2,570,052"
     FORK LIFT : MAINTENANCE,,"301,432","291,432","291,432","301,681","291,729","291,729","301,729","291,729","291,729","301,729","291,729","291,729","3,539,809"
     LOADING & UNLOADING: NPRINT & CONS,,"961,142","961,142","961,142","963,642","966,413","966,413","972,963","966,413","966,413","966,413","966,413","966,413","11,584,922"
"     LOADING, UNLOADING & FREIGHT : SUPP.",,"1,145,256","1,149,806","1,145,256","1,158,806","1,153,506","1,170,456","1,215,056","1,149,806","1,143,256","1,153,806","1,130,006","1,151,506","13,866,522"
E. BINDING CHARGES,,"4,715,552","4,809,525","4,765,514","4,885,009","4,974,994","4,761,699","6,251,295","5,017,202","4,792,349","5,088,286","4,713,354","4,794,489","59,569,268"
     BINDING CHARGES - NEWSPAPER,,"3,577,668","3,637,613","3,643,613","3,663,586","3,752,742","3,665,791","3,886,795","3,706,683","3,672,424","3,709,104","3,664,793","3,687,973","44,268,785"
     BINDING CHARGES - MAGAZINES,,"485,958","490,638","482,397","569,118","578,174","495,870","627,590","520,348","499,842","768,020","472,560","481,775","6,472,290"
     BINDING CHARGES - OTHERS,,"651,926","681,274","639,504","652,305","644,078","600,038","1,736,910","790,171","620,083","611,162","576,001","624,741","8,828,193"
F. INHOUSE PRINTING CHARGES,,"-710,685","-1,227,832","-880,212","-906,568","-1,264,832","-986,187","-950,780","-1,076,619","-273,725","-949,245","-823,778","-858,627","-10,909,090"
     NEWS PAPER (IPC),,"1,996,521","1,967,570","1,906,692","2,005,710","2,023,563","2,003,905","1,878,655","2,092,597","2,163,667","2,045,262","1,943,273","2,061,558","24,088,973"
     CLUSTER (IPC),,"-2,391,374","-2,680,138","-2,262,477","-2,571,486","-2,519,151","-2,524,978","-2,540,631","-2,556,832","-2,684,289","-2,580,946","-2,447,096","-2,580,532","-30,339,930"
     MAGAZINES ( W/O   NEWSPRINT ) (IPC),,"72,214","72,104","72,292","88,848","72,821","73,278","73,168","57,774","74,620","91,979","74,789","74,975","898,862"
     BAL / YOUNG BHASKAR (IPC),,"-434,546","-443,165","-462,828","-454,079","-434,425","-448,362","-508,472","-442,860","-457,107","-449,156","-441,244","-461,128","-5,437,372"
     SPL. SUPPLEMENTS / PULL OUTS (IPC),,"46,500","-144,203","-133,891","24,439","-407,640","-90,030","146,500","-227,298","629,384","-56,384","46,500","46,500","-119,623"
G. OUTSIDE PRINTING CHARGES,,"3,429,924","1,630,832","2,800,118","1,513,199","1,619,270","1,515,962","6,208,462","2,387,308","4,654,601","3,964,285","997,039","1,593,502","32,314,502"
     NEWS PAPER (OPC),,"502,249","864,343","502,249","516,589","485,138","501,457","1,351,866","485,507","519,360","485,138","468,027","501,866","7,183,789"
     CLUSTER (OPC),,0,0,0,0,0,0,0,0,0,0,0,0,0
     MAGAZINES ( W/O   NEWSPRINT ) (OPC),,"282,087","292,142","283,007","325,923","301,158","285,703","297,343","255,813","286,823","348,008","286,823","297,343","3,542,173"
     BAL / YOUNG BHASKAR (OPC),,0,0,0,0,0,0,0,0,0,0,0,0,0
     SPL. SUPPLEMENTS / PULL OUTS (OPC),,"2,645,588","474,347","2,014,862","670,687","832,974","728,802","4,559,253","1,645,988","3,848,418","3,131,139","242,189","794,293","21,588,540"
NEWS EXPENSES,,"11,340,977","11,158,360","11,157,515","11,273,427","11,189,415","11,213,465","11,196,965","11,190,915","11,214,875","11,195,815","11,195,815","11,195,815","134,523,359"
A. AGENCY PAYMENTS,,"3,546,713","3,363,251","3,363,251","3,453,663","3,369,651","3,383,151","3,377,201","3,371,151","3,393,111","3,376,051","3,376,051","3,376,051","40,749,296"
     UNI,,"84,422","84,422","84,422","84,422","84,422","84,422","84,422","84,422","84,422","84,422","84,422","84,422","1,013,064"
     PTI,,"2,783,472","2,783,471","2,783,471","2,789,871","2,789,871","2,789,871","2,789,871","2,789,871","2,789,871","2,796,271","2,796,271","2,796,271","33,478,453"
     INS,,"169,461","16,625","16,625","16,625","16,625","16,625","16,625","16,625","16,625","16,625","16,625","16,625","352,336"
     AP,,"275,353","275,353","275,353","275,353","275,353","275,353","275,353","275,353","275,353","275,353","275,353","275,353","3,304,236"
     AFP,,"112,700","112,700","112,700","112,700","112,700","112,700","112,700","112,700","112,700","112,700","112,700","112,700","1,352,400"
     OTHER AGENCIES,,"121,305","90,680","90,680","174,692","90,680","104,180","98,230","92,180","114,140","90,680","90,680","90,680","1,248,807"
B. NEWS EXPENSES - NEWSPAPER,,"6,004,140","6,004,140","6,004,140","6,029,640","6,029,640","6,029,640","6,029,640","6,029,640","6,029,640","6,029,640","6,029,640","6,029,640","72,279,180"
     PAYMENT FOR ARTICLES & WRITE-UPS (NP),,"2,564,931","2,564,931","2,564,931","2,567,431","2,567,431","2,567,431","2,567,431","2,567,431","2,567,431","2,567,431","2,567,431","2,567,431","30,801,672"
     PAYMENT FOR PHOTOGRAPHS (NP),,"603,827","603,827","603,827","626,827","626,827","626,827","626,827","626,827","626,827","626,827","626,827","626,827","7,452,924"
     PAYMENT TO STRINGERS/CORRESPONDANTS (NP),,"2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","2,835,382","34,024,584"
C.NEWS EXP. - MAGAZINES / SUPP.,,"110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","1,320,000"
     PAYMENT FOR ARTICLES & WRITE-UPS (Mag),,"110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","1,320,000"
     PAYMENT FOR PHOTOGRAPHS (Mag),,0,0,0,0,0,0,0,0,0,0,0,0,0
D.OTHER NEWS EXPENSES,,"1,680,124","1,680,969","1,680,124","1,680,124","1,680,124","1,690,674","1,680,124","1,680,124","1,682,124","1,680,124","1,680,124","1,680,124","20,174,883"
     PRIZES OF QUIZ / CONTESTS,,"11,200","11,200","11,200","11,200","11,200","11,200","11,200","11,200","11,200","11,200","11,200","11,200","134,400"
